﻿Hugues,Meunier,"59, rue Geneviève Pichon
25562 Roy-sur-Valette",Hugues.Meunier@yahoo.com,"+33 (0)1 59 10 01 93"
﻿Étienne,Guibert,"78, boulevard de Delannoy
25 767 Robindan",Étienne.Guibert@yahoo.com,"05 52 12 70 16"
﻿Madeleine,Mary,"67, rue Michelle Le Roux
06766 Perret",Madeleine.Mary@yahoo.com,"+33 9 09 13 02 03"
﻿Louis,Gilles,"rue de Briand
69404 Joseph",Louis.Gilles@yahoo.com,0941908887
﻿Adèle,Bourdon,"38, rue Benoit
98 857 Leblanc",Adèle.Bourdon@yahoo.com,"08 92 74 16 84"
﻿Agnès,Roger,"impasse de Julien
92 518 Marchand",Agnès.Roger@yahoo.com,0374839866
﻿Thibaut,Duhamel,"4, chemin Berger
22 644 Bazinboeuf",Thibaut.Duhamel@yahoo.com,"+33 (0)6 67 97 32 86"
﻿Martine,Gimenez,"avenue Marguerite Charpentier
54856 Leblanc-sur-Buisson",Martine.Gimenez@hotmail.com,"+33 1 95 34 09 17"
﻿Alphonse,Texier,"93, rue Buisson
89 458 Weiss",Alphonse.Texier@yahoo.com,0507150756
﻿Alexandria,Carre,"8, impasse Arnaude Adam
70457 Remy-sur-Thierry",Alexandria.Carre@hotmail.com,"+33 (0)6 38 57 55 19"
﻿Éléonore,Charrier,"28, rue Louis Rolland
17 133 Delattre",Éléonore.Charrier@yahoo.com,"+33 (0)6 11 67 11 44"
﻿Marguerite,Valette,"92, impasse de Ledoux
71 805 Dumont",Marguerite.Valette@yahoo.com,0928043842
